root census of G(rho_y,Delta)=0 on 0<=rho_y<=21, scan step 0.05, refined by bisection
Delta  n    rho_y roots
0.15   20   0.149621445958, 2.31332907203, 3.96422312013, 5.55572543011, 6.8352439817, 7.5154710441, 8.90222523448, 10.2020313971, 10.8495030863, 12.031419804, 12.7030732499, 13.8668422855, 15.0147587971, 15.6546610895, 16.452944718, 17.2920891471, 18.486804938, 19.1135891573, 20.1550924422, 20.7617946943
0.2    18   0.426668912037, 2.73284105755, 4.65099407269, 6.40506163325, 7.22632616763, 8.58510946881, 10.1359010211, 10.8431309432, 12.1432980724, 12.8433758739, 14.2862914328, 15.2364889836, 16.1161665141, 16.7870641358, 18.1374855162, 18.9237243691, 20.0027421711, 20.6836945213
0.25   16   0.626039538247, 3.17267033451, 5.35523707226, 6.92277054146, 7.85523097437, 9.73365228712, 10.648472542, 11.9736454194, 12.757832446, 14.3111737929, 15.2828780875, 16.2468180541, 17.0118739392, 18.4975129336, 19.2201293849, 20.3852584083
0.3    15   0.81707939939, 3.64577604977, 6.06246906577, 7.17784377749, 8.82324534708, 10.4113473922, 11.4560324214, 12.5666474574, 13.9818700382, 15.2278408229, 16.1687875609, 17.0300286434, 18.4902888708, 19.5442881826, 20.2534625398
0.35   11   1.01543695466, 4.1632902515, 6.647676813, 7.5578541619, 9.81718902192, 10.7717256098, 12.3010286681, 13.331138556, 14.9854539058, 16.1918217667, 16.5293352309
0.4    11   1.23040718788, 4.73460421436, 6.94951682681, 8.29890791181, 10.3649651264, 11.6044884144, 12.607459457, 16.9431864712, 17.7323206338, 19.3561466043, 20.388429807
0.45   10   1.47038774746, 5.36249671512, 7.12265441537, 9.26509218614, 10.5815585458, 12.5270398624, 13.1502017889, 17.642348675, 18.9662315738, 19.8368659097
0.5    11   1.74483751331, 6.0209489047, 7.31988277034, 10.2437703042, 10.809557797, 12.9880980123, 14.1347251417, 16.3426071046, 16.384603054, 18.2919931961, 19.8742780806
0.55   11   2.06564518346, 6.58844815699, 7.69993931101, 10.8741133199, 11.2374746033, 13.697958916, 14.9098202194, 16.0970762026, 18.0235100003, 19.2036754083, 20.0166166892
0.6    6    2.44847899611, 6.92557908848, 8.36856015268, 14.3770135695, 18.3154094201, 20.1932216107
0.65   6    2.91383703285, 7.14404899179, 9.05148085904, 14.6220858085, 16.364951426, 20.230025748
0.7    10   3.48525051555, 7.38960084445, 9.46675477001, 12.3863946544, 13.5979075635, 14.6235180333, 16.2036424551, 19.1193979572, 19.9868638233, 20.7569116857
0.75   7    4.17292725509, 7.82470539504, 9.62572423219, 12.237070419, 15.0301399736, 19.3127843813, 20.1576596855
0.8    5    4.91045246732, 12.1390781637, 15.0305168807, 20.1697748045, 20.7511442311
0.85   6    5.4992666869, 11.7335805285, 15.1900409794, 16.8944602832, 18.1227020944, 20.0541427996
0.9    4    5.83041205462, 10.3522268916, 15.7899910449, 17.7761429603
0.95   4    5.97961721858, 10.2591484084, 16.2842784145, 18.2614326069
1.0    6    6.0209489047, 10.2437703042, 12.9880980123, 14.1347251417, 16.3426071046, 18.2919931961
