POSITIVE CONTROL: BST eq (critzeros) evaluated at all 24 Table-1 edge zeros
pt    Delta*                 rho_y*               |G| (should be 0)
1     0.141733239663887      0                    3.587e-15
2a    0.798382429865856      9.17479405815734     6.814e-21
2b    0.950672823506692      13.5092488680816     1.347e-23
3a    0.578095740200051      11.2961629757333     8.017e-23
3b    0.688797339793161      12.7134082666419     7.986e-23
4a    0.708261915413478      14.3461052173020     6.785e-24
4b    0.810471985748564      17.3035168808027     6.606e-24
5a    0.577833206956181      15.7904269230734     7.117e-27
5b    0.625830051933379      16.7721421891791     2.338e-25
6a    0.397042034784957      14.9386821841068     1.898e-24
6b    0.499955572107973      16.3629327845743     1.407e-25
7a    0.634086781531453      17.8588321271621     5.88e-26
7b    0.690295752437308      19.4462462865857     3.312e-20
8a    0.356573014664413      16.4816098051657     5.438e-26
8b    0.375454386384881      16.8495675287149     2.011e-23
9a    0.337272867689201      18.5674591768417     8.713e-27
9b    0.374296061779980      19.3629136770424     2.561e-27
10a   0.560652822542094      19.8540419510498     2.348e-21
10b   0.577320038404815      20.4237238736290     3.252e-28
11a   0.896821462590355      19.0008766867965     1.897e-22
12a   0.778481639573212      20.0611304186419     1.279e-21
12b   0.789270563104711      20.2667094854061     5.221e-21
13a   0.578437965650995      20.8178435639014     9.778e-22
14a   0.309679721075915      20.1102459521285     7.131e-25

worst |G| over 24 published edge zeros: 3.587e-15
