n	gamma_n	connes_x13_PUBLISHED_UPPERBOUND	ratio_ours_over_published	beast_x3_COMPUTED	beast_x5_COMPUTED	beast_x7_COMPUTED	beast_x9_COMPUTED	beast_x11_COMPUTED	beast_x13_COMPUTED	beast_x15_COMPUTED	beast_x17_COMPUTED	beast_x19_COMPUTED	beast_x23_COMPUTED	idxoff_x3	idxoff_x5	idxoff_x7	idxoff_x9	idxoff_x11	idxoff_x13	idxoff_x15	idxoff_x17	idxoff_x19	idxoff_x23
1	14.134725141734693790457251983562470270784257	2.60179e-55	1.00000085	4.6423465e-5	2.6363674e-14	3.2231084e-24	1.6788658e-34	7.6898954e-45	2.6017922e-55	6.3914224e-66	2.2888494e-76	1.6203811e-86	7.8613379e-103	0	0	0	0	0	0	0	0	0	0
2	21.022039638771554992628479593896902777334340	4.80071e-52	0.999999854	0.0045023748	1.3256824e-11	3.0162939e-21	2.1851517e-31	1.2315297e-41	4.8007093e-52	1.3071658e-62	5.0656154e-73	3.8245701e-83	2.0880039e-99	0	0	0	0	0	0	0	0	0	0
3	25.010857580145688763213790992562821818659549	4.43756e-50	1.00000034	0.038630811	4.5064461e-10	1.6605103e-19	1.5486406e-29	1.0222e-39	4.4375615e-50	1.3064559e-60	5.3751736e-71	4.2611689e-81	2.5442128e-97	0	0	0	0	0	0	0	0	0	0
4	30.424876125859513210311897530584091320181560	3.89903e-47	1.00000062	0.4631155	7.4526517e-8	6.1962298e-17	8.7860496e-27	7.5251331e-37	3.8990324e-47	1.3048786e-57	5.9221289e-68	5.0853496e-78	3.5160679e-94	0	0	0	0	0	0	0	0	0	0
5	32.935061587739189690662368964074903488812715	7.59453e-46	0.999999776	1.6575325	5.8750476e-7	7.6279051e-16	1.3549359e-25	1.3338675e-35	7.5945283e-46	2.7209948e-56	1.3010155e-66	1.165634e-76	8.7127647e-93	0	0	0	0	0	0	0	0	0	0
6	37.586178158825671257217763480705332821405597	1.13198e-43	0.999999823	1.9470365	1.2919355e-5	4.3627335e-14	1.2427515e-23	1.6348776e-33	1.1319798e-43	4.6709463e-54	2.4878187e-64	2.4334632e-74	2.1372803e-90	0	0	0	0	0	0	0	0	0	0
7	40.918719012147495187398126914633254395726165	1.07245e-41	0.999998881	1.3855044	0.00025224175	1.9028114e-12	7.9619082e-22	1.3235345e-31	1.0724488e-41	4.9559993e-52	2.8778789e-62	3.0198909e-72	3.0179412e-88	-1	0	0	0	0	0	0	0	0	0
8	43.327073280914999519496122165406805782645668	1.2694e-40	0.999998424	0.45491556	0.00084450234	1.2247791e-11	6.9405553e-21	1.3857127e-30	1.269398e-40	6.407127e-51	3.9792611e-61	4.4100969e-71	4.8729854e-87	-1	0	0	0	0	0	0	0	0	0
9	48.005150881167159727942472749427516041686844	4.40141e-38	0.999999773	1.5252149	0.017784174	1.1507136e-9	1.2544375e-18	3.7026358e-28	4.401409e-38	2.678001e-48	1.9173842e-58	2.3850855e-68	3.2591975e-84	-1	0	0	0	0	0	0	0	0	0
10	49.773832477672302181916784678563724057723178	4.24869e-37	0.99999887	0.24346667	0.054213655	6.4867151e-9	9.275063e-18	3.213639e-27	4.2486852e-37	2.7893872e-47	2.1159829e-57	2.7585283e-67	4.1094068e-83	-2	0	0	0	0	0	0	0	0	0
11	52.970321477714460644147296608880990063825017	5.86724e-36	0.999999591	2.041517	0.07063619	3.174348e-8	7.6824944e-17	3.6213758e-26	5.8672376e-36	4.4537496e-46	3.7720429e-56	5.3770203e-66	9.4425951e-82	-2	0	0	0	0	0	0	0	0	0
12	56.446247697063394804367759476706127552782264	3.24443e-34	1.0000008	1.4344092	0.18730772	5.1335879e-7	2.3311625e-15	1.5786825e-24	3.2444326e-34	2.916992e-44	2.808541e-54	4.4418964e-64	9.4462891e-80	-3	0	0	0	0	0	0	0	0	0
13	59.347044002602353079653648674992219031098772	2.44517e-32	0.999999959	0.73754134	0.69646601	1.2708377e-5	1.0262075e-13	9.6228356e-23	2.4451699e-32	2.5555371e-42	2.7572413e-52	4.7817432e-62	1.2052427e-77	-3	0	0	0	0	0	0	0	0	0
14	60.831778524609809844259901824524003802910090	9.02026e-32	0.999999667	0.74719318	0.78826852	2.5656063e-5	2.8364961e-13	3.1687248e-22	9.020257e-32	1.0216452e-41	1.1712783e-51	2.1335348e-61	5.8875006e-77	-4	-1	0	0	0	0	0	0	0	0
15	65.112544048081606660875054253183705029348149	5.13539e-30	0.99999963	1.2270362	1.5141026	0.00022371556	6.6606316e-12	1.2752122e-20	5.1353881e-30	7.42845e-40	1.0241329e-49	2.1653267e-59	7.8674474e-75	-4	-1	0	0	0	0	0	0	0	0
16	67.079810529494173714478828896522216770107144	7.04142e-29	1.00000013	0.74023024	2.6735067	0.0012008183	5.9127636e-11	1.4760711e-19	7.0414209e-29	1.1472403e-38	1.7297458e-48	3.931207e-58	1.6322896e-73	-5	-1	0	0	0	0	0	0	0	0
17	69.546401711173979252926857526554738443012474	6.47754e-28	0.999999583	1.7944151	0.20691549	0.0031540623	3.0725304e-10	1.0880143e-18	6.4775373e-28	1.2324767e-37	2.0878876e-47	5.2126978e-57	2.5749423e-72	-5	-2	0	0	0	0	0	0	0	0
