file	fails_raw	fails_discriminating	discriminating_paths
data/c48/c48_even_x13_N100_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_even_x13_N100_dps220_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_even_x13_N140_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_even_x13_N180_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_even_x13_N220_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_even_x13_N60_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_even_x13_N60_dps220_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_odd_x13_N100_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_odd_x13_N100_dps220_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_odd_x13_N140_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_odd_x13_N180_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
data/c48/c48_odd_x13_N220_dps150_g9_it16.json	14	9	/L_full_sf;/L_width_is_a_knob;/eig_residual_bound_sf;/lambda_min_full_sf;/lambda_min_width_is_a_knob;/log10_full_sf;/log10_width_is_a_knob;/residual_full_sf;/residual_width_is_a_knob
