file	field	run_dps	stored_sf	gap	verdict
data/c42/runs/c42_x11_N100_dps150_g10_G_x11d10.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x11_N100_dps150_g10_G_x11d10.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x11_N100_dps150_g9_D_x11.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x11_N100_dps150_g9_D_x11.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x11_N140_dps150_g9_K_x11N140.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x11_N140_dps150_g9_K_x11N140.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x13_N100_dps150_g10_F_x13d10.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x13_N100_dps150_g10_F_x13d10.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x13_N100_dps150_g8_B_quadctl.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x13_N100_dps150_g8_B_quadctl.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x13_N100_dps150_g9_A_primary.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x13_N100_dps150_g9_A_primary.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x13_N140_dps150_g9_I_x13N140.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x13_N140_dps150_g9_I_x13N140.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x13_N30_dps40_g6_pilot.json	L	40	40	0	FULL
data/c42/runs/c42_x13_N30_dps40_g6_pilot.json	lambda_min	40	30	10	DISCARDED
data/c42/runs/c42_x13_N70_dps150_g9_C_truncctl.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x13_N70_dps150_g9_C_truncctl.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x15_N100_dps200_g9_Q_x15.json	L	200	40	160	DISCARDED
data/c42/runs/c42_x15_N100_dps200_g9_Q_x15.json	lambda_min	200	30	170	DISCARDED
data/c42/runs/c42_x17_N100_dps220_g9_O_x17.json	L	220	40	180	DISCARDED
data/c42/runs/c42_x17_N100_dps220_g9_O_x17.json	lambda_min	220	30	190	DISCARDED
data/c42/runs/c42_x17_N100_dps300_g9_R_x17hp.json	L	300	40	260	DISCARDED
data/c42/runs/c42_x17_N100_dps300_g9_R_x17hp.json	lambda_min	300	30	270	DISCARDED
data/c42/runs/c42_x17_N140_dps220_g9_W_x17N140.json	L	220	40	180	DISCARDED
data/c42/runs/c42_x17_N140_dps220_g9_W_x17N140.json	lambda_min	220	30	190	DISCARDED
data/c42/runs/c42_x19_N100_dps250_g9_P_x19.json	L	250	40	210	DISCARDED
data/c42/runs/c42_x19_N100_dps250_g9_P_x19.json	lambda_min	250	30	220	DISCARDED
data/c42/runs/c42_x19_N100_dps340_g9_S_x19hp.json	L	340	40	300	DISCARDED
data/c42/runs/c42_x19_N100_dps340_g9_S_x19hp.json	lambda_min	340	30	310	DISCARDED
data/c42/runs/c42_x19_N140_dps250_g9_U_x19N140.json	L	250	40	210	DISCARDED
data/c42/runs/c42_x19_N140_dps250_g9_U_x19N140.json	lambda_min	250	30	220	DISCARDED
data/c42/runs/c42_x19_N180_dps250_g9_V_x19N180.json	L	250	40	210	DISCARDED
data/c42/runs/c42_x19_N180_dps250_g9_V_x19N180.json	lambda_min	250	30	220	DISCARDED
data/c42/runs/c42_x23_N100_dps380_g9_T_x23.json	L	380	40	340	DISCARDED
data/c42/runs/c42_x23_N100_dps380_g9_T_x23.json	lambda_min	380	30	350	DISCARDED
data/c42/runs/c42_x3_N100_dps150_g9_L_x3.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x3_N100_dps150_g9_L_x3.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x5_N100_dps150_g9_M_x5.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x5_N100_dps150_g9_M_x5.json	lambda_min	150	30	120	DISCARDED
data/c42/runs/c42_x7_N100_dps150_g10_H_x7d10.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x7_N100_dps150_g10_H_x7d10.json	lambda_min	150	29	121	DISCARDED
data/c42/runs/c42_x7_N100_dps150_g9_E_x7.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x7_N100_dps150_g9_E_x7.json	lambda_min	150	29	121	DISCARDED
data/c42/runs/c42_x7_N140_dps150_g9_J_x7N140.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x7_N140_dps150_g9_J_x7N140.json	lambda_min	150	29	121	DISCARDED
data/c42/runs/c42_x9_N100_dps150_g9_N_x9.json	L	150	40	110	DISCARDED
data/c42/runs/c42_x9_N100_dps150_g9_N_x9.json	lambda_min	150	30	120	DISCARDED
data/c43/c43_x13_N100_dps150_widened.json	lambda_min_w100	150	100	50	DISCARDED
data/c43/c43_x13_N100_dps150_widened.json	lambda_min_w30_AS_PUBLISHED	150	30	120	DISCARDED
data/c43/c43_x13_N100_dps150_widened.json	lambda_min_w45	150	45	105	DISCARDED
data/c43/c43_x13_N100_dps150_widened.json	lambda_min_w60	150	60	90	DISCARDED
data/c45/c45_x13_N100_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c45/c45_x13_N100_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c45/c45_x13_N100_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c45/c45_x13_N100_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c45/c45_x14_N100_dps200_g9_it16.json	L	200	40	160	DISCARDED
data/c45/c45_x14_N100_dps200_g9_it16.json	lambda_min	200	60	140	DISCARDED
data/c45/c45_x14_N100_dps200_g9_it16.json	lambda_min_30	200	30	170	DISCARDED
data/c45/c45_x14_N100_dps200_g9_it16.json	log10	200	20	180	DISCARDED
data/c45/c45_x16_N100_dps220_g9_it16.json	L	220	40	180	DISCARDED
data/c45/c45_x16_N100_dps220_g9_it16.json	lambda_min	220	60	160	DISCARDED
data/c45/c45_x16_N100_dps220_g9_it16.json	lambda_min_30	220	30	190	DISCARDED
data/c45/c45_x16_N100_dps220_g9_it16.json	log10	220	19	201	DISCARDED
data/c45/c45_x16_N100_dps300_g9_it16.json	L	300	40	260	DISCARDED
data/c45/c45_x16_N100_dps300_g9_it16.json	lambda_min	300	60	240	DISCARDED
data/c45/c45_x16_N100_dps300_g9_it16.json	lambda_min_30	300	30	270	DISCARDED
data/c45/c45_x16_N100_dps300_g9_it16.json	log10	300	19	281	DISCARDED
data/c45/c45_x18_N100_dps250_g9_it16.json	L	250	39	211	DISCARDED
data/c45/c45_x18_N100_dps250_g9_it16.json	lambda_min	250	60	190	DISCARDED
data/c45/c45_x18_N100_dps250_g9_it16.json	lambda_min_30	250	30	220	DISCARDED
data/c45/c45_x18_N100_dps250_g9_it16.json	log10	250	20	230	DISCARDED
data/c45/c45_x25_N100_dps420_g9_it16.json	L	420	40	380	DISCARDED
data/c45/c45_x25_N100_dps420_g9_it16.json	lambda_min	420	60	360	DISCARDED
data/c45/c45_x25_N100_dps420_g9_it16.json	lambda_min_30	420	30	390	DISCARDED
data/c45/c45_x25_N100_dps420_g9_it16.json	log10	420	19	401	DISCARDED
data/c45/c45_x25_N140_dps420_g9_it16.json	L	420	40	380	DISCARDED
data/c45/c45_x25_N140_dps420_g9_it16.json	lambda_min	420	60	360	DISCARDED
data/c45/c45_x25_N140_dps420_g9_it16.json	lambda_min_30	420	30	390	DISCARDED
data/c45/c45_x25_N140_dps420_g9_it16.json	log10	420	20	400	DISCARDED
data/c45/c45_x25_N180_dps420_g9_it16.json	L	420	40	380	DISCARDED
data/c45/c45_x25_N180_dps420_g9_it16.json	lambda_min	420	60	360	DISCARDED
data/c45/c45_x25_N180_dps420_g9_it16.json	lambda_min_30	420	29	391	DISCARDED
data/c45/c45_x25_N180_dps420_g9_it16.json	log10	420	20	400	DISCARDED
data/c45/c45_x4p953032424395115_N100_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c45/c45_x4p953032424395115_N100_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c45/c45_x4p953032424395115_N100_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c45/c45_x4p953032424395115_N100_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c45/c45_x4p953032424395115_N140_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c45/c45_x4p953032424395115_N140_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c45/c45_x4p953032424395115_N140_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c45/c45_x4p953032424395115_N140_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p3.json	lambda_closed_form	50	40	10	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p3.json	lambda_quadrature	50	40	10	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p3.json	matrix_scale	50	8	42	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p3.json	max_entry_diff	50	8	42	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p3.json	rel_diff	50	8	42	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p4.json	lambda_closed_form	50	40	10	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p4.json	lambda_quadrature	50	40	10	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p4.json	matrix_scale	50	8	42	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p4.json	max_entry_diff	50	8	42	DISCARDED
data/c46/c46_K5_indep_N10_x13_dps50_p4.json	rel_diff	50	8	42	DISCARDED
data/c46/c46_block_even_x13_N100_dps150_g9_it16_k3.json	L	150	40	110	DISCARDED
data/c46/c46_block_odd_x13_N100_dps150_g9_it16_k3.json	L	150	40	110	DISCARDED
data/c46/c46_even_x13_N100_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_even_x13_N100_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c46/c46_even_x13_N100_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c46/c46_even_x13_N100_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c46/c46_even_x13_N100_dps150_g9_it16.json	residual	150	9	141	DISCARDED
data/c46/c46_even_x13_N140_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_even_x13_N140_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c46/c46_even_x13_N140_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c46/c46_even_x13_N140_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c46/c46_even_x13_N140_dps150_g9_it16.json	residual	150	10	140	DISCARDED
data/c46/c46_even_x13_N180_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_even_x13_N180_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c46/c46_even_x13_N180_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c46/c46_even_x13_N180_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c46/c46_even_x13_N180_dps150_g9_it16.json	residual	150	10	140	DISCARDED
data/c46/c46_even_x13_N220_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_even_x13_N220_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c46/c46_even_x13_N220_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c46/c46_even_x13_N220_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c46/c46_even_x13_N220_dps150_g9_it16.json	residual	150	10	140	DISCARDED
data/c46/c46_even_x13_N60_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_even_x13_N60_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c46/c46_even_x13_N60_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c46/c46_even_x13_N60_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c46/c46_even_x13_N60_dps150_g9_it16.json	residual	150	10	140	DISCARDED
data/c46/c46_even_x19_N100_dps300_g9_it16.json	L	300	40	260	DISCARDED
data/c46/c46_even_x19_N100_dps300_g9_it16.json	lambda_min	300	60	240	DISCARDED
data/c46/c46_even_x19_N100_dps300_g9_it16.json	lambda_min_30	300	30	270	DISCARDED
data/c46/c46_even_x19_N100_dps300_g9_it16.json	log10	300	20	280	DISCARDED
data/c46/c46_even_x19_N100_dps300_g9_it16.json	residual	300	10	290	DISCARDED
data/c46/c46_even_x4p953032424395115_N100_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_even_x4p953032424395115_N100_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c46/c46_even_x4p953032424395115_N100_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c46/c46_even_x4p953032424395115_N100_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c46/c46_even_x4p953032424395115_N100_dps150_g9_it16.json	residual	150	10	140	DISCARDED
data/c46/c46_even_x5_N100_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_even_x5_N100_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c46/c46_even_x5_N100_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c46/c46_even_x5_N100_dps150_g9_it16.json	log10	150	19	131	DISCARDED
data/c46/c46_even_x5_N100_dps150_g9_it16.json	residual	150	10	140	DISCARDED
data/c46/c46_odd_x13_N100_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_odd_x13_N100_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
data/c46/c46_odd_x13_N100_dps150_g9_it16.json	lambda_min_30	150	30	120	DISCARDED
data/c46/c46_odd_x13_N100_dps150_g9_it16.json	log10	150	20	130	DISCARDED
data/c46/c46_odd_x13_N100_dps150_g9_it16.json	residual	150	10	140	DISCARDED
data/c46/c46_odd_x13_N100_dps220_g9_it16.json	L	220	40	180	DISCARDED
data/c46/c46_odd_x13_N100_dps220_g9_it16.json	lambda_min	220	60	160	DISCARDED
data/c46/c46_odd_x13_N100_dps220_g9_it16.json	lambda_min_30	220	30	190	DISCARDED
data/c46/c46_odd_x13_N100_dps220_g9_it16.json	log10	220	20	200	DISCARDED
data/c46/c46_odd_x13_N100_dps220_g9_it16.json	residual	220	10	210	DISCARDED
data/c46/c46_odd_x13_N140_dps150_g9_it16.json	L	150	40	110	DISCARDED
data/c46/c46_odd_x13_N140_dps150_g9_it16.json	lambda_min	150	60	90	DISCARDED
