key	n_carriers	n_carriers_declaring_dps	working_precision_at_publication	guard_digits	knob_status	accuracy_at_publication	accuracy_status	example_carrier
1000000000	4	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
10000000000	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
100000000000	5	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
100000000499	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
100000000500	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
1000000006	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_gates.json
1000000012	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_gates.json
1000000041	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-cycle8-oos-falsification-2026-09-03-RELAY-BY-astra-pa.md
1000000067	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-cycle8-oos-falsification-2026-09-03-RELAY-BY-astra-pa.md
1000000082	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-cycle8-oos-falsification-2026-09-03-RELAY-BY-astra-pa.md
1000000125	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-cycle8-oos-falsification-2026-09-03-RELAY-BY-astra-pa.md
1000000811	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-cycle8-oos-falsification-2026-09-03-RELAY-BY-astra-pa.md
100000311147	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_fold_results5.json
10000031115	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_stage5.out
10000031200	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_stage5.out
100000312001	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_fold_results5.json
1000342175	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-two-channel-law-2026-09-02.md
100073700821	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
100074025934	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
100199048157	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
100206332781	3	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_design_scan.json
1002291823	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
100284994737	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_slide_K3_epstein_D7_T3.875_e0.15_T250.json
100397074957	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
1004419853	5	1	40	-	POINT	-	UNMEASURED	data/code/m2_c27_s3_prereg.py
100441985340	3	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle27_s3_prereg.json
100497402260	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_fold_results8.json
100551329285	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
100598118039	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
100633217958	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
100643578965	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
100711196665	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-rediscovery-rate-2026-09-03.md
100720857861	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle24_widthlaw.json
100746817243	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
100750157045	1	1	50	-	POINT	-	UNMEASURED	data/machine2_dn_dps50_n30.json
1008040586	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_slide_K1_zeta_T0_e0.3_T600.json
100949254937	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
101040320104	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
10122439156	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
101234466499	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_c31_fitness_constants.json
1012612317	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
101317851005	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle22_zeros210.json
101343346765	3	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
1013433468	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-cycle23-REVEAL-and-letter-the-family-fires-my-prereg-falls-m1s-prediction-holds.md
101377780612	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle24_widthlaw.json
101383418083	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
101466359307	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
101539674703	5	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
1016135201	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_shifts.json
101692985373	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
101700267587	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k2_4.json
101776347140	1	1	40	-	POINT	-	UNMEASURED	data/machine2_cycle28_cover_all.json
101798221186	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_shifts.json
102153231956	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
102317100019	1	1	40	-	POINT	-	UNMEASURED	data/machine2_transfer_checks.out
102399696489	2	1	90	25	POINT	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
102437703041	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-response-to-m1L164-census-M-branch-amendment-v21-and-b-hypothesis-conceded-2026-09-05.md
102437703042	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	machine2-response-to-m1L164-census-M-branch-amendment-v21-and-b-hypothesis-conceded-2026-09-05.md
102621003140	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_zerosum.json
102696010156	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle26_boundary.json
102705411588	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_low_results.json
102771618334	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
102785835488	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
102812476748	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
102817529060	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
102846729502	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
102851814149	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/code/machine2_cycle21_four_basis_referee.py
102895649635	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
103083910315	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_controls.json
103116143993	1	1	50	-	POINT	-	UNMEASURED	data/machine2_dn_dps50_n30.json
103132281583	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
103206534313	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
103430430278	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle29_s3_scored.json
103581902825	2	1	90	25	POINT	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
103607018162	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
103627815727	1	1	90,110,125	25,30	RANGE	-	UNMEASURED	data/machine2_c34_refit.json
103627815728	1	1	90,110,125	25,30	RANGE	-	UNMEASURED	data/machine2_c34_refit_batch2.out
1036566595	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle27_s3_prereg.json
103700197053	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle26_boundary.json
103725538040	3	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle22_zeros210.json
103790052515	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
1038395974	3	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_fold_results3.json
103975168608	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
1041772541	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle29_s3_scored.json
104197476154	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_slide_K3_epstein_D7_T4.65_e0.15_T250.json
104259070455	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle29_s3_scored.json
104369512943	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
1044018166	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_scored.json
